strain,sample_date,host,accession,country,genotype
,20-FEB-2019,Homo sapiens,MF444051.1,France,3f
,20-FEB-2019,Homo sapiens,MF444052.1,France,3f
,20-FEB-2019,Homo sapiens,MF444053.1,France,3f
,20-FEB-2019,Homo sapiens,MF444054.1,France,3f
,20-FEB-2019,Homo sapiens,MF444055.1,France,3f
,20-FEB-2019,Homo sapiens,MF444056.1,France,3h
,20-FEB-2019,Homo sapiens,MF444057.1,France,3f
,20-FEB-2019,Homo sapiens,MF444058.1,France,3f
,20-FEB-2019,Homo sapiens,MF444059.1,France,3f
,20-FEB-2019,Homo sapiens,MF444060.1,France,3f
,20-FEB-2019,Homo sapiens,MF444061.1,France,3f
,20-FEB-2019,Homo sapiens,MF444062.1,France,3f
,20-FEB-2019,Homo sapiens,MF444063.1,France,3c
,20-FEB-2019,Homo sapiens,MF444064.1,France,3c
,20-FEB-2019,Homo sapiens,MF444065.1,France,3c
,20-FEB-2019,Homo sapiens,MF444066.1,France,3f
,20-FEB-2019,Homo sapiens,MF444067.1,France,3f
,20-FEB-2019,Homo sapiens,MF444068.1,France,3f
,20-FEB-2019,Homo sapiens,MF444069.1,France,3f
,20-FEB-2019,Homo sapiens,MF444070.1,France,3f
,20-FEB-2019,Homo sapiens,MF444071.1,France,3c
,20-FEB-2019,Homo sapiens,MF444072.1,France,3c
,20-FEB-2019,Homo sapiens,MF444073.1,France,3f
,20-FEB-2019,Homo sapiens,MF444074.1,France,3ra
,20-FEB-2019,Homo sapiens,MF444075.1,France,3f
,20-FEB-2019,Homo sapiens,MF444076.1,France,3f
,20-FEB-2019,Homo sapiens,MF444077.1,France,3h
,20-FEB-2019,Homo sapiens,MF444078.1,France,3f
,20-FEB-2019,Homo sapiens,MF444079.1,France,3f
,20-FEB-2019,Homo sapiens,MF444080.1,France,3f
,20-FEB-2019,Homo sapiens,MF444081.1,France,3f
,20-FEB-2019,Homo sapiens,MF444082.1,France,3f
,20-FEB-2019,Homo sapiens,MF444084.1,France,3f
,20-FEB-2019,Homo sapiens,MF444085.1,France,3c
,20-FEB-2019,Homo sapiens,MF444087.1,France,3f
,20-FEB-2019,Homo sapiens,MF444088.1,France,3f
,20-FEB-2019,Homo sapiens,MF444089.1,France,3m
,20-FEB-2019,Homo sapiens,MF444090.1,France,3f
,20-FEB-2019,Homo sapiens,MF444091.1,France,3f
,20-FEB-2019,Homo sapiens,MF444092.1,France,3f
,20-FEB-2019,Homo sapiens,MF444093.1,France,3f
,20-FEB-2019,Homo sapiens,MF444094.1,France,3f
,20-FEB-2019,Homo sapiens,MF444095.1,France,3f
,20-FEB-2019,Homo sapiens,MF444096.1,France,3f
,20-FEB-2019,Homo sapiens,MF444097.1,France,3f
,20-FEB-2019,Homo sapiens,MF444098.1,France,3f
,20-FEB-2019,Homo sapiens,MF444099.1,France,3ra
,20-FEB-2019,Homo sapiens,MF444100.1,France,3f
,20-FEB-2019,Homo sapiens,MF444101.1,France,3f
,20-FEB-2019,Homo sapiens,MF444102.1,France,3f
,20-FEB-2019,Homo sapiens,MF444103.1,France,3f
,20-FEB-2019,Homo sapiens,MF444104.1,France,3f
,20-FEB-2019,Homo sapiens,MF444105.1,France,3f
,20-FEB-2019,Homo sapiens,MF444106.1,France,3c
,20-FEB-2019,Homo sapiens,MF444107.1,France,3f
,20-FEB-2019,Homo sapiens,MF444108.1,France,3f
,20-FEB-2019,Homo sapiens,MF444109.1,France,3e
,20-FEB-2019,Homo sapiens,MF444110.1,France,3h
,20-FEB-2019,Homo sapiens,MF444111.1,France,3c
,20-FEB-2019,Homo sapiens,MF444112.1,France,3f
,20-FEB-2019,Homo sapiens,MF444113.1,France,3f
,20-FEB-2019,Homo sapiens,MF444114.1,France,3c
,20-FEB-2019,Homo sapiens,MF444115.1,France,3c
,20-FEB-2019,Homo sapiens,MF444116.1,France,3f
,20-FEB-2019,Homo sapiens,MF444117.1,France,3f
,20-FEB-2019,Homo sapiens,MF444118.1,France,3f
,20-FEB-2019,Homo sapiens,MF444120.1,France,3h
,20-FEB-2019,Homo sapiens,MF444121.1,France,3l
,20-FEB-2019,Homo sapiens,MF444122.1,France,3c
,20-FEB-2019,Homo sapiens,MF444123.1,France,3f
,20-FEB-2019,Homo sapiens,MF444124.1,France,3f
,20-FEB-2019,Homo sapiens,MF444125.1,France,3f
,20-FEB-2019,Homo sapiens,MF444126.1,France,3f
,20-FEB-2019,Homo sapiens,MF444127.1,France,3f
,20-FEB-2019,Homo sapiens,MF444128.1,France,3c
,20-FEB-2019,Homo sapiens,MF444129.1,France,3f
,20-FEB-2019,Homo sapiens,MF444130.1,France,3f
,20-FEB-2019,Homo sapiens,MF444131.1,France,3l
,20-FEB-2019,Homo sapiens,MF444132.1,France,3f
,20-FEB-2019,Homo sapiens,MF444133.1,France,3f
,20-FEB-2019,Homo sapiens,MF444134.1,France,3f
,20-FEB-2019,Homo sapiens,MF444135.1,France,3f
,20-FEB-2019,Homo sapiens,MF444136.1,France,3h
,20-FEB-2019,Homo sapiens,MF444137.1,France,3f
,20-FEB-2019,Homo sapiens,MF444138.1,France,3f
,20-FEB-2019,Homo sapiens,MF444139.1,France,3f
,20-FEB-2019,Homo sapiens,MF444140.1,France,3f
,20-FEB-2019,Homo sapiens,MF444141.1,France,3e
,20-FEB-2019,Homo sapiens,MF444142.1,France,3f
,20-FEB-2019,Homo sapiens,MF444143.1,France,3c
,20-FEB-2019,Homo sapiens,MF444144.1,France,3f
,03-MAR-2019,Homo sapiens,MH504124.1,United Kingdom: Bedford,3c
,03-MAR-2019,Homo sapiens,MH504125.1,United Kingdom: Aylesbury,3c
,03-MAR-2019,Homo sapiens,MH504126.1,United Kingdom: Surrey,3c
,03-MAR-2019,Homo sapiens,MH504127.1,United Kingdom: Gloucester,3c
,03-MAR-2019,Homo sapiens,MH504128.1,United Kingdom: Brighton,3c
,03-MAR-2019,Homo sapiens,MH504129.1,United Kingdom: Poole,3c
,03-MAR-2019,Homo sapiens,MH504130.1,United Kingdom: Newcastle,3a
,03-MAR-2019,Homo sapiens,MH504131.1,United Kingdom: Newcastle,3c
,03-MAR-2019,Homo sapiens,MH504132.1,United Kingdom: Manchester,3c
,03-MAR-2019,Homo sapiens,MH504133.1,United Kingdom: Oxford,3c
,03-MAR-2019,Homo sapiens,MH504134.1,United Kingdom: London,3c
,03-MAR-2019,Homo sapiens,MH504135.1,United Kingdom: Southampton,3c
,03-MAR-2019,Homo sapiens,MH504136.1,United Kingdom: Gloucester,3c
,03-MAR-2019,Homo sapiens,MH504137.1,United Kingdom: Poole,3c
,03-MAR-2019,Homo sapiens,MH504138.1,United Kingdom: Oldham,3c
,03-MAR-2019,Homo sapiens,MH504139.1,United Kingdom: Gloucester,3e
,03-MAR-2019,Homo sapiens,MH504140.1,United Kingdom: Nottingham,3e
,03-MAR-2019,Homo sapiens,MH504141.1,United Kingdom: Portsmouth,3e
,03-MAR-2019,Homo sapiens,MH504142.1,United Kingdom: Manchester,3e
,03-MAR-2019,Homo sapiens,MH504143.1,United Kingdom: Derby,3e
,03-MAR-2019,Homo sapiens,MH504144.1,United Kingdom: Swansea,3e
,03-MAR-2019,Homo sapiens,MH504145.1,United Kingdom: Surrey,3e
,03-MAR-2019,Homo sapiens,MH504146.1,United Kingdom: Chichester,3e
,03-MAR-2019,Homo sapiens,MH504147.1,United Kingdom: Leeds,3f
,03-MAR-2019,Homo sapiens,MH504148.1,United Kingdom: Bristol,3e
,03-MAR-2019,Homo sapiens,MH504149.1,United Kingdom: London,3e
,03-MAR-2019,Homo sapiens,MH504150.1,United Kingdom: South Shields,3e
,03-MAR-2019,Homo sapiens,MH504151.1,United Kingdom: Swansea,3f
,03-MAR-2019,Homo sapiens,MH504152.1,United Kingdom: Belfast,3e
,03-MAR-2019,Homo sapiens,MH504153.1,United Kingdom: Torquay,3e
,03-MAR-2019,Homo sapiens,MH504154.1,United Kingdom: Hillingdon,1f
,03-MAR-2019,Homo sapiens,MH504155.1,United Kingdom: Brighton,1g
,03-MAR-2019,Homo sapiens,MH504156.1,United Kingdom: London,1g
,03-MAR-2019,Homo sapiens,MH504157.1,United Kingdom: London,1a
,03-MAR-2019,Homo sapiens,MH504158.1,United Kingdom: Oldham,1g
,03-MAR-2019,Homo sapiens,MH504159.1,United Kingdom: Surrey,1g
,03-MAR-2019,Homo sapiens,MH504160.1,United Kingdom: Surrey,1g
,03-MAR-2019,Homo sapiens,MH504161.1,United Kingdom: Exeter,1g
,03-MAR-2019,Homo sapiens,MH504162.1,United Kingdom: Aylesbury,1f
,03-MAR-2019,Homo sapiens,MH504163.1,United Kingdom: London,1g
,26-MAR-2019,wild boar,MK390970.1,Italy,3
,26-MAR-2019,wild boar,MK390971.1,Italy,3
RMKM15,18-MAY-2021,,LC428039.1,China,4b
SWU/D18/2018,23-JUL-2019,Tibetan pigs,MK410044.1,China,4d
SWU/E4/2018,23-JUL-2019,Tibetan pigs,MK410045.1,China,4a
SWU/31-12/2018,23-JUL-2019,Tibetan pigs,MK410046.1,China,4a
SWU/ZX8/2018,23-JUL-2019,Tibetan pigs,MK410047.1,China,4a
SWU/42-5/2018,23-JUL-2019,Tibetan pigs,MK410048.1,China,4
SWU/B6/2018,23-JUL-2019,Tibetan pigs,MK410049.1,China,4a
SWU/L9/2018,23-JUL-2019,Tibetan pigs,MK410050.1,China,4a
SWU/7-175/2018,23-JUL-2019,Tibetan pigs,MK410051.1,China,4a
SWU/7-180/2018,23-JUL-2019,Tibetan pigs,MK410052.1,China,4a
SWU/7-173/2018,23-JUL-2019,Tibetan pigs,MK410053.1,China,4a
,03-JUN-2019,Lepus europaeus (European brown hare),MK050463.1,Germany,3ra
TS1372,18-MAY-2021,Sus scrofa six-month-old,LC436449.1,Taiwan,4b
TS1380,18-MAY-2021,Sus scrofa six-month-old,LC436450.1,Taiwan,4b
,10-JUN-2019,Homo sapiens,MK089847.1,Germany,3f
,10-JUN-2019,Homo sapiens,MK089848.1,Germany,3e
,10-JUN-2019,Homo sapiens,MK089849.1,Germany,3c
,14-JUL-2019,wild boar hybrid,MK330953.1,China,4a
rJB-RC81,18-MAY-2021,Sus scrofa domesticus,LC490579.1,Japan,3b
,30-NOV-2019,Homo sapiens,MN401237.1,France,3f
,30-NOV-2019,Homo sapiens,MN401238.1,France,1g
rbIM223LR,18-MAY-2021,,LC484431.1,,3ra
,16-DEC-2019,Homo sapiens,MN614139.1,Netherlands,3c
,16-DEC-2019,Homo sapiens,MN614140.1,Netherlands,3c
,16-DEC-2019,Homo sapiens,MN614141.1,Netherlands,3c
,16-DEC-2019,Mus musculus,MN629976.1,Netherlands,3c
,21-JAN-2020,Homo sapiens,MN646689.1,France,3f
,21-JAN-2020,Homo sapiens,MN646690.1,France,3e
,21-JAN-2020,Homo sapiens,MN646691.1,France,3e
,21-JAN-2020,Homo sapiens,MN646692.1,France,3f
,21-JAN-2020,Homo sapiens,MN646693.1,France,3f
,21-JAN-2020,Homo sapiens,MN646694.1,France,3m
,21-JAN-2020,Homo sapiens,MN646695.1,France,3f
,21-JAN-2020,Homo sapiens,MN646696.1,France,3f
